time,quote,before,time_phrase,after,title,author,nsfw,lang,source
00:00,"“And almost exactly at midnight, the Count’s patience was rewarded. For in accordance with the instructions he’d written to Richard, every telephone on the first floor of the Metropol began to ring.”",“And almost exactly at ,midnight,", the Count’s patience was rewarded. For in accordance with the instructions he’d written to Richard, every telephone on the first floor of the Metropol began to ring.”",A Gentleman in Moscow,Amor Towles,unknown,en,johannesne
00:00,"But, odder still - Big Ben had once again struck midnight. The time outside still corresponded to that registered by the stopped gilt clock, inside. Inside and outside matched exactly, but both were badly wrong. H'm.","But, odder still - Big Ben had once again struck ",midnight,". The time outside still corresponded to that registered by the stopped gilt clock, inside. Inside and outside matched exactly, but both were badly wrong. H'm.",Nights at the Circus,Angela Carter,sfw,en,johannesne
00:00,"It was surely midnight by now. A lone bird called, and the individual trees melted together in one forbidding and unfriendly mass. To Savonius they seemed to incarnate this dismal adventure which had been thrust on him against his will. Somewhere in this deep forest lay this demented man he was supposed to try to comfort and calm.",It was surely ,midnight," by now. A lone bird called, and the individual trees melted together in one forbidding and unfriendly mass. To Savonius they seemed to incarnate this dismal adventure which had been thrust on him against his will. Somewhere in this deep forest lay this demented man he was supposed to try to comfort and calm.",The Hammer of God,Bo Giertz,unknown,en,johannesne
00:00,There was the midnight hike with the boys to the end of the promenade and the big argument about the election of a housemaster. What had become of responsibility and service? And brotherly love?,There was the ,midnight, hike with the boys to the end of the promenade and the big argument about the election of a housemaster. What had become of responsibility and service? And brotherly love?,The Hammer of God,Bo Giertz,unknown,en,johannesne
00:00,"And I was the lion you do not remember who pushed the boat in which you lay, a child near death, so that it came to the shore where a man sat, wakeful at midnight, to receive you.","And I was the lion you do not remember who pushed the boat in which you lay, a child near death, so that it came to the shore where a man sat, wakeful at ",midnight,", to receive you.",The Horse and His Boy,C.S. Lewis,unknown,en,johannesne
00:00,"If Jill had been more used to adventures, she might have doubted the Owl’s word, but this never occurred to her; and in the exciting idea of a midnight escape she forgot her sleepiness.","If Jill had been more used to adventures, she might have doubted the Owl’s word, but this never occurred to her; and in the exciting idea of a ",midnight, escape she forgot her sleepiness.,The Silver Chair,C.S. Lewis,unknown,en,johannesne
00:00,"To begin my life with the beginning of my life, I record that I was born (as I have been informed an believe) on a Friday, at twelve o'clock at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.","To begin my life with the beginning of my life, I record that I was born (as I have been informed an believe) on a Friday, at ",twelve o'clock," at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.",David Copperfield,Charles Dickens,unknown,en,johannesne
00:00,"Midnight had come upon the crowded city. The palace, the night-cellar, the jail, the madhouse; the chambers of birth and death, of health and sickness; the rigid face of the corpse and the calm sleep of the child - midnight was upon them all.",,midnight," had come upon the crowded city. The palace, the night-cellar, the jail, the madhouse; the chambers of birth and death, of health and sickness; the rigid face of the corpse and the calm sleep of the child - midnight was upon them all.",Oliver Twist,Charles Dickens,unknown,en,johannesne
00:00,"The clock striketh twelve O it strikes, it strikes! Now body, turn to air, Or Lucifer will bear thee quick to hell. O soul, be changed into little water drops, And fall into the ocean, ne'er to be found. My God, my God, look not so fierce on me!",The clock striketh ,twelve," O it strikes, it strikes! Now body, turn to air, Or Lucifer will bear thee quick to hell. O soul, be changed into little water drops, And fall into the ocean, ne'er to be found. My God, my God, look not so fierce on me!",Dr. Faustus,Christopher Marlowe,unknown,en,johannesne
00:00,"In one hour — at midnight on the dot — you come back here and take formation. Anyone who's late lands in the brig. For the next hour — you're free. I suggest you use this hour to attend the toilets, to shower, to write home, to cry for mommy if you like.",In one hour — at ,midnight on the dot," — you come back here and take formation. Anyone who's late lands in the brig. For the next hour — you're free. I suggest you use this hour to attend the toilets, to shower, to write home, to cry for mommy if you like.",Earth Alone,Daniel Arenson,unknown,en,scifi-fantasy
