time,quote,title,author
00:00,"He is certain he heard footsteps: they come nearer, and then die away. The ray of light beneath his door is extinguished. It is midnight; some one has turned out the gas; the last servant has gone to bed, and he must lie all night in agony with no one to bring him any help.",Swann's Way,Marcel Proust
00:00,"""Midnight,"" you said. What is midnight to the young? And suddenly a festive blaze was flung Across five cedar trunks, snow patches showed, And a patrol car on our bumpy road Came to a crunching stop. Retake, retake!",Pale Fire,Vladimir Nabokov
00:00,"Midnight had come upon the crowded city. The palace, the night-cellar, the jail, the madhouse; the chambers of birth and death, of health and sickness; the rigid face of the corpse and the calm sleep of the child - midnight was upon them all.'",Oliver Twist,Charles Dickens
00:00,"I was born in the city of Bombay ... once upon a time. No, that won't do, there's no getting away from the date: I was born in Doctor Narlikar's Nursing Home on August 15th, 1947. And the time? The time matters too. Well then: at night. No, it's important to be more . . . On the stroke of midnight, as a matter of fact. Clock-hands joined palms in respectful greeting as I came. Oh, spell it out, spell it out: at the precise instant of India's arrival at independence, I tumbled forth into the world.",Midnight's Children,Salman Rushdie
00:00,"But in the end I understood this language. I understood it, I understood it, all wrong perhaps. That is not what matters. It told me to write the report. Does this mean I am freer now than I was? I do not know. I shall learn. Then I went back into the house and wrote, It is midnight. The rain is beating on the windows. It was not midnight. It was not raining.",Molloy,Samuel Beckett
00:00,It is midnight. The rain is beating on the windows. I am calm. All is sleeping. Nevertheless I get up and go to my desk. I can't sleep. ...,Molloy,Samuel Beckett
00:00,"Once upon a midnight dreary, while I pondered weak and weary, Over many a quaint and curious volume of forgotten lore, While I nodded, nearly napping, suddenly there came a tapping, As of some one gently rapping, rapping at my chamber door. `'Tis some visitor,' I muttered, `tapping at my chamber door - Only this, and nothing more.'",The Raven,Edgar Allan Poe
00:00,"To begin my life with the beginning of my life, I record that I was born (as I have been informed an believe) on a Friday, at twelve o'clock at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.",David Copperfield,Charles Dickens
00:00,"It was nearing midnight and the Prime Minister was sitting alone in his office, reading a long memo that was slipping through his brain without leaving the slightest trace of meaning behind.",Harry Potter and the Half-Blood Prince,JK Rowling
00:00,"I exist. I am conceived to the chimes of midnight on the clock on the mantelpiece in the room across the hall. The clock once belonged to my great-grandmother (a woman called Alice) and its tired chime counts me into the world. I'm begun on the first stroke and finished on the last when my father rolls off my mother and is plunged into a dreamless sleep, thanks to the five pints of bitter he has drunk in the Punchbowl with his friends, Walter and Bernard Belling.",Behind the Scenes at the Museum,Kate Atkinson
00:00,"""Tis the year's midnight, and it is the day's, Lucy's, who scarce seven hours herself unmasks; The sun is spent, and now his flasks Send forth light squibs, no constant rays;""",A Nocturnal upon St Lucy's Day,John Donne
00:00,"Hamlet. What hour now? Horatio. I think it lacks of twelve. Marcellus. No, it is struck.",Hamlet,William Shakespeare
00:00,"""As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a muffler wrapped round his throat, crept quietly out of his house.""",The Picture of Dorian Gray,Oscar Wilde
00:00,"Cartridges not allowed after 0000h., to encourage sleep.",Infinite Jest,David Foster Wallace
00:00,We have heard the chimes at midnight.,Henry IV Part 2,William Shakespeare
00:00,"""But wait till I tell you,"" he said. :We had a midnight lunch too after all the jollification and when we sallied forth it was blue o'clock the morning after the night before""",Ulysses,James Joyce
00:00,"Gately can hear the horns and raised voices and U-turn squeals way down below on Wash. that indicate it's around 0000h., the switching hour.",Infinite Jest,David Foster Wallace
00:00,"Francisco. You come most carefully upon your hour. Bernardo. 'Tis now struck twelve. Get thee to bed, Francisco.",Hamlet,William Shakespeare
00:00,"Francisco. You come most carefully upon your hour. Bernardo. 'Tis now struck twelve. Get thee to bed, Francisco.",Hamlet,Shakespeare
00:00,"I took her hand in mine, and bid her be composed; for a succession of shudders convulsed her frame, and she would keep straining her gaze towards the glass. 'There's nobody here!' I insisted. 'It was YOURSELF, Mrs. Linton: you knew it a while since.' 'Myself!' she gasped, 'and the clock is striking twelve! It's true, then! that's dreadful!'",Wuthering Heights,Emily Bronte
00:05,"E.M. Security, normally so scrupulous with their fucking trucks at 0005h., is nowhere around, lending weight to yet another cliché. If you asked Gately what he was feeling right this second he'd have no idea.",Infinite Jest,David Foster Wallace
00:07,"It was seven minutes after midnight. The dog was lying on the grass in the middle of the lawn in front of Mrs Shears' house. Its eyes were closed. It looked as if it was running on its side, the way dogs run when they think they are chasing a cat in a dream.",The Curious Incident of the Dog in the Night-Time,Mark Haddon
00:15,"At twelve-fifteen he got out of the van. He tucked the pistol under the waistband of his trousers and crossed the silent, deserted street to the Hudston house. He let himself through an unlocked wooden gate onto a side patio brightened only by moonlight filtered through the leafy branches of an enormous sheltering coral tree. He paused to pull on a pair of supple leather gloves.",Watchers,Dean Koontz
00:25,"Charlotte remembered that she had heard Gregoire go downstairs again, almost immediately after entering his bedroom, and before the servants had even bolted the house-doors for the night. He had certainly rushed off to join Therese in some coppice, whence they must have hurried away to Vieux-Bourg station which the last train to Paris quitted at five-and-twenty minutes past midnight. And it was indeed this which had taken place.",Fruitfulness,Emile Zola
00:30,"It was half-past twelve when I returned to the Albany as a last desperate resort. The scene of my disaster was much as I had left it. The baccarat-counters still strewed the table, with the empty glasses and the loaded ash-trays. A window had been opened to let the smoke out, and was letting in the fog instead.",The Amateur Cracksman,E.W. Hornung
00:40,We sat in the car park till twenty to one/And now I'm engaged to Miss Joan Hunter Dunn.,A Subaltern's Love Song,John Betjeman
00:45,"At the thought he jumped to his feet and took down from its hook the coat in which he had left Miss Viner's letter. The clock marked the third quarter after midnight, and he knew it would make no difference if he went down to the post-box now or early the next morning; but he wanted to clear his conscience, and having found the letter he went to the door.",The Reef,Edith Wharton
00:50,"The packing was done at 12.50; and Harris sat on the big hamper, and said he hoped nothing would be found broken. George said that if anything was broken it was broken, which reflection seemed to comfort him. He also said he was ready for bed.",Three Men in a Boat,Jerome K Jerome
00:56,It was 12:56 A.M. when Gerald drove up onto the grass and pulled the limousine right next to the cemetery.,Extremely Loud and Incredibly Close,Jonathan Safran Foer
01:00,"‘What time is it now?’ she said. ‘About one o’clock’. ‘In the morning?’ Herera’s friend leered at her. ‘No, there’s a total eclipse of the sun’.","Freedom. ch 2, p 115 hardback edn (UK)",Jonathan Frantzen
